iter	Passed	Remaining
399	13200	19800
400	13221	19749
401	13242	19699
402	13262	19646
40405	13230	193540406	13253	193140407	13282	192740408	13312	192340409	13350	192140410	13388	19186
411	13421	19155
412	13464	19137
413	13490	19095
414	13514	19050
415	13539	19007
416	13563	18962
417	13586	18917
418	13608	18869
419	13629	18821
420	13651	18774
421	13671	18724
422	13693	18678
423	13718	18636
424	13737	18586
425	13756	18535
426	13778	18490
427	13801	18445
428	13823	18399
429	13845	18352
430	13866	18305
431	13884	18255
432	13902	18204
433	13921	18155
434	13944	18111
435	13964	18063
436	13986	18019
437	14009	17976
438	14029	17928
439	14051	17883
440	14073	17838
441	14092	17791
442	14115	17748
443	14146	17714
444	14173	17677
445	14196	17634
446	14222	17594
447	14253	17562
448	14281	17525
449	14305	17484
450	14326	17439
451	14347	17394
452	14371	17353
453	14397	17315
454	14417	17268
455	14438	17225
456	14459	17180
457	14481	17137
458	14508	17100
459	14527	17054
460	14549	17010
461	14569	16966
462	14590	16922
463	14609	16875
464	14627	16830
465	14646	16783
466	14665	16737
467	14683	16691
468	14704	16647
469	14721	16601
470	14739	16554
471	14757	16507
472	14775	16462
473	14794	16417
474	14814	16373
475	14833	16328
476	14852	16284
477	14861	16229
478	14869	16173
479	14879	16119
480	14887	16064
481	14908	16021
482	14928	15978
483	14947	15935
484	14966	15892
485	14986	15849
486	15005	15806
487	15023	15762
488	15042	15719
489	15064	15678
490	15092	15645
491	15113	15604
492	15133	15563
493	15157	15525
494	15181	15487
495	15203	15448
496	15239	15423
497	15270	15393
498	15299	15361
499	15347	15347
500	15375	15314
501	15400	15278
502	15427	15243
503	15447	15202
504	15470	15163
505	15490	15122
506	15516	15087
507	15543	15053
508	15567	15017
509	15587	14976
510	15608	14936
511	15632	14900
512	15652	14859
513	15673	14819
514	15699	14785
515	15719	14745
516	15739	14704
517	15757	14662
518	15779	14624
519	15797	14581
520	15815	14540
521	15835	14500
522	15861	14466
523	15878	14424
524	15896	14382
525	15914	14341
526	15932	14299
527	15950	14258
528	15967	14216
529	15984	14175
530	16002	14133
531	16019	14092
532	16039	14053
533	16059	14014
534	16077	13973
535	16094	13932
536	16112	13891
537	16128	13849
538	16145	13809
539	16163	13769
540	16181	13728
541	16199	13688
542	16220	13651
543	16243	13615
544	16270	13583
545	16297	13551
546	16327	13521
547	16354	13489
548	16381	13457
549	16406	13423
550	16431	13389
551	16455	13354
552	16475	13317
553	16496	13280
554	16516	13243
555	16535	13204
556	16555	13166
557	16575	13129
558	16594	13091
559	16613	13053
560	16632	13015
561	16651	12977
562	16670	12939
563	16689	12901
564	16707	12863
565	16724	12824
566	16744	12787
567	16762	12748
568	16782	12712
569	16801	12675
570	16820	12637
571	16839	12600
572	16872	12573
573	16892	12537
574	16914	12502
575	16933	12465
576	16952	12427
577	16970	12390
578	16988	12352
579	17108	12388
580	17137	12359
581	17170	12331
582	17190	12295
583	17210	12259
584	17232	12224
585	17249	12186
586	17267	12149
587	17286	12112
588	17302	12073
589	17320	12036
590	17338	11998
591	17357	11962
592	17377	11926
593	17395	11889
594	17417	11855
595	17439	11821
596	17460	11786
597	17479	11750
598	17498	11714
599	17518	11679
600	17537	11643
601	17558	11608
602	17589	11580
603	17613	11547
604	17632	11511
605	17657	11480
606	17680	11446
607	17700	11411
608	17719	11376
609	17738	11341
610	17757	11305
611	17777	11270
612	17798	11236
613	17821	11203
614	17843	11170
615	17872	11141
616	17897	11109
617	17935	11086
618	17957	11053
619	17983	11022
620	18010	10991
621	18034	10959
622	18054	10925
623	18074	10891
624	18093	10856
625	18116	10823
626	18134	10788
627	18152	10752
628	18171	10717
629	18192	10684
630	18219	10654
631	18245	10624
632	18271	10593
633	18298	10563
634	18324	10533
635	18348	10501
636	18369	10468
637	18395	10437
638	18419	10405
639	18441	10373
640	18465	10341
641	18488	10309
642	18511	10277
643	18539	10248
644	18564	10217
645	18589	10186
646	18616	10157
647	18648	10130
648	18691	10109
649	18717	10078
650	18744	10048
651	18767	10016
652	18793	9986
653	18828	9961
654	18854	9931
655	18881	9901
656	18904	9869
657	18925	9836
658	18944	9802
659	18964	9769
660	18984	9736
661	19004	9703
662	19023	9669
663	19043	9636
664	19060	9601
665	19078	9567
666	19096	9534
667	19116	9501
668	19134	9466
669	19152	9433
670	19174	9401
671	19195	9369
672	19213	9335
673	19232	9302
674	19253	9270
675	19270	9236
676	19288	9202
677	19307	9169
678	19325	9136
679	19342	9102
680	19359	9068
681	19377	9035
682	19394	9001
683	19412	8968
684	19429	8934
685	19446	8901
686	19463	8867
687	19480	8834
688	19498	8801
689	19514	8767
690	19531	8734
691	19546	8699
692	19566	8667
693	19585	8635
694	19603	8602
695	19622	8570
696	19640	8538
697	19661	8506
698	19682	8475
699	19701	8443
700	19720	8411
701	19736	8378
702	19754	8345
703	19771	8312
704	19788	8280
705	19805	8247
706	19824	8215
707	19842	8183
708	19860	8151
709	19878	8119
710	19896	8087
711	19915	8055
712	19933	8023
713	19952	7992
714	19970	7960
715	19991	7929
716	20009	7897
717	20028	7866
718	20045	7834
719	20064	7802
720	20080	7770
721	20096	7737
722	20112	7705
723	20130	7674
724	20149	7642
725	20168	7611
726	20190	7581
727	20212	7552
728	20234	7521
729	20254	7491
730	20274	7460
731	20295	7430
732	20313	7399
733	20330	7367
734	20348	7336
735	20367	7305
736	20385	7274
737	20403	7243
738	20422	7212
739	20440	7181
740	20460	7151
741	20483	7122
742	20504	7092
743	20525	7062
744	20546	7032
745	20566	7002
746	20588	6972
747	20608	6942
748	20625	6912
749	20644	6881
750	20661	6850
751	20679	6819
752	20697	6789
753	20716	6759
754	20733	6728
755	20752	6697
756	20770	6667
757	20790	6637
758	20808	6607
759	20824	6576
760	20845	6546
761	20869	6518
762	20896	6490
763	20920	6462
764	20943	6433
765	20966	6404
766	20989	6376
767	21012	6347
768	21033	6318
769	21054	6289
770	21073	6259
771	21092	6229
772	21113	6200
773	21134	6171
774	21156	6142
775	21185	6115
776	21205	6085
777	21226	6056
778	21247	6027
779	21267	5998
780	21289	5969
781	21308	5940
782	21327	5910
783	21347	5881
784	21367	5852
785	21389	5823
786	21414	5795
787	21438	5767
788	21461	5739
789	21482	5710
790	21501	5681
791	21523	5652
792	21542	5623
793	21561	5593
794	21579	5564
795	21599	5535
796	21616	5505
797	21634	5476
798	21655	5447
799	21674	5418
800	21693	5389
801	21713	5360
802	21736	5332
803	21773	5307
804	21793	5279
805	21812	5250
806	21829	5220
807	21845	5191
808	21861	5161
809	21877	5131
810	21893	5102
811	21908	5072
812	21924	5042
813	21940	5013
814	21961	4985
815	21982	4956
816	22001	4928
817	22023	4899
818	22041	4871
819	22062	4843
820	22084	4815
821	22105	4786
822	22124	4758
823	22144	4729
824	22176	4704
825	22205	4677
826	22227	4649
827	22250	4622
828	22272	4594
829	22297	4566
830	22317	4538
831	22341	4511
832	22360	4482
833	22385	4455
834	22413	4428
835	22445	4403
836	22474	4376
837	22506	4350
838	22534	4324
839	22559	4296
840	22581	4269
841	22603	4241
842	22624	4213
843	22646	4185
844	22669	4158
845	22692	4130
846	22717	4103
847	22742	4076
848	22765	4048
849	22790	4021
850	22810	3993
851	22828	3965
852	22851	3938
853	22871	3910
854	22891	3882
855	22909	3853
856	22930	3826
857	22949	3798
858	22978	3771
859	23003	3744
860	23025	3717
861	23046	3689
862	23066	3661
863	23085	3633
864	23105	3606
865	23124	3578
866	23146	3550
867	23165	3522
868	23187	3495
869	23206	3467
870	23226	3439
871	23245	3412
872	23269	3385
873	23291	3357
874	23315	3330
875	23338	3303
876	23357	3275
877	23378	3248
878	23400	3221
879	23422	3193
880	23440	3166
881	23457	3138
882	23475	3110
883	23492	3082
884	23508	3054
885	23524	3026
886	23541	2999
887	23557	2971
888	23573	2943
889	23590	2915
890	23606	2887
891	23625	2860
892	23641	2832
893	23658	2805
894	23676	2777
895	23693	2750
896	23712	2722
897	23733	2695
898	23754	2668
899	23775	2641
900	23794	2614
901	23814	2587
902	23835	2560
903	23857	2533
904	23875	2506
905	23892	2478
906	23910	2451
907	23926	2424
908	23943	2396
909	23961	2369
910	23983	2343
911	23998	2315
912	24016	2288
913	24033	2261
914	24051	2234
915	24067	2207
916	24085	2180
917	24104	2153
918	24124	2126
919	24145	2099
920	24165	2072
921	24185	2046
922	24207	2019
923	24234	1993
924	24260	1967
925	24283	1940
926	24306	1914
927	24329	1887
928	24351	1861
929	24371	1834
930	24389	1807
931	24409	1780
932	24428	1754
933	24447	1727
934	24468	1701
935	24488	1674
936	24511	1648
937	24532	1621
938	24552	1594
939	24570	1568
940	24588	1541
941	24607	1515
942	24626	1488
943	24644	1461
944	24665	1435
945	24682	1408
946	24701	1382
947	24719	1355
948	24736	1329
949	24753	1302
950	24771	1276
951	24791	1250
952	24810	1223
953	24829	1197
954	24846	1170
955	24864	1144
956	24882	1118
957	24899	1091
958	24920	1065
959	24936	1039
960	24954	1012
961	24972	986
962	24989	960
963	25007	933
964	25022	907
965	25040	881
966	25057	855
967	25073	828
968	25090	802
969	25109	776
970	25131	750
971	25156	724
972	25178	698
973	25201	672
974	25222	646
975	25245	620
976	25266	594
977	25289	568
978	25309	542
979	25332	516
980	25353	491
981	25371	465
982	25390	439
983	25409	413
984	25429	387
985	25448	361
986	25467	335
987	25489	309
988	25509	283
989	25527	257
990	25547	232
991	25566	206
992	25586	180
993	25603	154
994	25623	128
995	25642	102
996	25659	77
997	25677	51
998	25695	25
999	25712	0
1
998	25698	25
999	25716	0
